"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsgeneratorstartwert","Wie alt bist du?","Mit welchem Geschlecht identifizierst du dich?","Denk an die letzten drei Monate zurück. Wie regelmäßig hast du ein BeReal hochgeladen? ","Denk an die letzten drei Monate zurück. Wie regelmäßig hast du ein Instagram Post hochgeladen? ","Hast du ein öffentliches oder privates Instagram-Konto? "," [Es ist mir wichtig, dass meine Follower wissen, wie mein Leben aussieht.]"," [Wenn ich etwas tolles erlebe, hoffe ich, dass ich es teilen kann.]"," [Ich ärgere mich, wenn ich etwas tolles erlebe, was ich nicht mehr posten kann.]"," [Meine Bilder repräsentieren mich und meine Persönlichkeit.]"," [Ich möchte Erlebnisse sofort festhalten, egal wie ich aussehe.]"," [Im Großteil meiner Bilder kann man mein Gesicht sehen.]"," [Ich habe ein Problem damit, ein für mich nicht perfektes Bild zu veröffentlichen. ]"," [Ich brauche durchschnittlich  mehr als ein Take, um ein Bild zu machen. ]"," [Es ist mir wichtig, dass meine Follower wissen, wie mein Leben aussieht.]"," [Wenn ich etwas tolles erlebe, hoffe ich, dass ich es teilen kann.]"," [Ich ärgere mich, wenn ich etwas tolles erlebe, was ich nicht mehr posten kann.]"," [Meine Bilder repräsentieren mich und meine Persönlichkeit.]"," [Ich möchte Erlebnisse sofort festhalten, egal wie ich aussehe.]"," [Im Großteil meiner Bilder kann man mein Gesicht sehen.]"," [Ich habe ein Problem damit, ein für mich nicht perfektes Bild zu veröffentlichen.]"," [Ich brauche durchschnittlich  mehr als ein Take, um ein Bild zu machen.]"," [Wenn Leute Fotos von mir machen, denke ich daran, wie ich aussehe, wenn die Bilder auf Social Media veröffentlicht werden.]"," [Ich denke darüber nach, wie bestimmte Teile meines Körpers aussehen werden, wenn die Leute meine Bilder in den sozialen Medien sehen.]"," [Selbst wenn ich allein bin, stelle ich mir vor, wie mein Körper auf einem Bild  auf Social Media aussehen würde.]"," [Tagsüber verbringe ich Zeit damit, darüber nachzudenken, wie attraktiv ich aussehe, wenn andere Leute Bilder von mir auf Social Media sehen.]"," [Ich versuche zu erraten, wie die Leute in den sozialen Medien auf meine körperliche Erscheinung auf meinen Bildern reagieren werden.]"," [Meine Attraktivität auf Bildern ist wichtiger als alles andere, was ich  auf Social Media tue.]"," [Wenn ich zu gesellschaftlichen Veranstaltungen gehe, ist es mir wichtiger, auf den Bildern, die die Leute auf Social Media posten könnten, attraktiv auszusehen, als mich zu amüsieren.]"," [Wenn ein unattraktives Bild von mir in den sozialen Medien gepostet wird, fühle ich mich nicht wohl in meiner Haut.]"," [Ich schaue mir immer wieder Bilder von mir auf Social Media an. ]"," [Ich zoome in Social-Media-Bilder, um zu sehen, wie bestimmte Teile meines Körpers aussehen.]"," [Wenn jemand ein Foto von mir macht, das in den sozialen Medien veröffentlicht werden könnte, bitte ich darum, es mir zuerst anzusehen, um sicherzustellen, dass ich gut aussehe.]"," [Bevor ich Bilder in sozialen Medien poste, schneide ich sie zu oder wende Filter an, um mich besser aussehen zu lassen.]"," [Wenn jemand ein Foto von mir macht, das  auf Social Media veröffentlicht werden könnte, stelle ich mich in eine bestimmte Pose, damit ich so attraktiv wie möglich aussehe. ]","Bitte folgenden Code kopieren (Strg + C) und/oder niederschreiben. Dieser ist für VP-Stunden notwendig.    Dieser Code ist ein sogenannter Hash. D.h. er wurde automatisch generiert und basiert auf einer Formel, mit der wir feststellen können, dass tatsächlich teilgenommen wurde. Er wird nicht mit der Befragung gespeichert, daher ist keine Zuordnung zwischen Studie und separater VP-Sundenseite möglich. ","Nachdem du den Code kopiert hast, drücke bitte auf ""Absenden"". Du wirst automatisch zur nächsten Umfrage weitergeleitet, wo du diesen Code eingeben kannst."
"98","1980-01-01 00:00:00","5","de","1523533932","26","weiblich","ich benutze BeReal nicht","weniger als einmal monatlich","öffentliches Konto     (meine Beiträge sind für alle Nutzer auf Instagram einsehbar, Standardeinstellung)","","","","","","","","","stimmt weitgehend","stimmt weitgehend","stimmt eher","stimmt eher","stimmt eher nicht","stimmt eher","stimmt eher nicht","stimmt eher","stimmt eher","stimmt eher","stimmt eher nicht","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt gar nicht","stimmt gar nicht","stimmt gar nicht","stimmt weitgehend nicht","stimmt eher nicht","stimmt eher","stimmt eher nicht","stimmt eher nicht","",""
"99","1980-01-01 00:00:00","5","de","1010576185","22","weiblich","täglich","weniger als einmal monatlich","privates     (nur meine Follower können meine Beiträge sehen)","stimmt eher","stimmt völlig","stimmt weitgehend","stimmt weitgehend","stimmt eher","stimmt eher","stimmt eher","stimmt völlig","stimmt eher","stimmt weitgehend","stimmt eher nicht","stimmt eher","stimmt eher nicht","stimmt völlig","stimmt eher","stimmt eher nicht","stimmt eher nicht","stimmt eher","stimmt eher","stimmt eher","stimmt eher","stimmt gar nicht","stimmt gar nicht","stimmt weitgehend nicht","stimmt weitgehend","stimmt eher nicht","stimmt eher","stimmt weitgehend nicht","stimmt eher nicht","",""
"100","1980-01-01 00:00:00","5","de","155846414","20","weiblich","täglich","weniger als einmal monatlich","privates     (nur meine Follower können meine Beiträge sehen)","stimmt eher nicht","stimmt weitgehend","stimmt weitgehend","stimmt eher","stimmt eher nicht","stimmt eher nicht","stimmt weitgehend","stimmt weitgehend","stimmt weitgehend nicht","stimmt weitgehend","stimmt eher","stimmt eher","stimmt weitgehend nicht","stimmt weitgehend","stimmt völlig","stimmt eher","stimmt völlig","stimmt völlig","stimmt eher nicht","stimmt eher nicht","stimmt eher","stimmt eher","stimmt eher nicht","stimmt völlig","stimmt völlig","stimmt völlig","stimmt völlig","stimmt eher","stimmt eher","",""
"101","1980-01-01 00:00:00","5","de","761386798","19","männlich","täglich","einmal monatlich","privates     (nur meine Follower können meine Beiträge sehen)","stimmt eher","stimmt weitgehend","stimmt eher nicht","stimmt eher nicht","stimmt weitgehend","stimmt weitgehend","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt eher nicht","stimmt gar nicht","stimmt gar nicht","stimmt eher","stimmt gar nicht","stimmt weitgehend nicht","stimmt eher","stimmt eher nicht","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt gar nicht","stimmt gar nicht","stimmt gar nicht","stimmt gar nicht","stimmt gar nicht","stimmt gar nicht","stimmt gar nicht","stimmt gar nicht","stimmt gar nicht","stimmt gar nicht","",""
"102","1980-01-01 00:00:00","5","de","657792667","19","männlich","täglich","mehrmals monatlich","privates     (nur meine Follower können meine Beiträge sehen)","stimmt eher","stimmt eher","stimmt eher nicht","stimmt weitgehend","stimmt völlig","stimmt völlig","stimmt gar nicht","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt eher nicht","stimmt eher","stimmt weitgehend","stimmt weitgehend","stimmt völlig","stimmt weitgehend nicht","stimmt eher nicht","stimmt gar nicht","stimmt eher","stimmt gar nicht","stimmt weitgehend nicht","stimmt eher","stimmt weitgehend nicht","stimmt gar nicht","stimmt weitgehend nicht","stimmt eher nicht","stimmt eher nicht","stimmt gar nicht","stimmt weitgehend nicht","stimmt eher","",""
"103","","","de","1713614730","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104","","","de","1924359149","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"105","1980-01-01 00:00:00","5","de","1623416945","22","weiblich","einmal wöchentlich","weniger als einmal monatlich","privates     (nur meine Follower können meine Beiträge sehen)","stimmt eher","stimmt weitgehend nicht","stimmt gar nicht","stimmt eher","stimmt eher","stimmt eher","stimmt weitgehend nicht","stimmt eher nicht","stimmt weitgehend nicht","stimmt eher nicht","stimmt gar nicht","stimmt eher nicht","stimmt eher","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt eher","stimmt eher","stimmt weitgehend","stimmt weitgehend nicht","stimmt gar nicht","stimmt gar nicht","stimmt weitgehend nicht","stimmt gar nicht","stimmt weitgehend","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt eher","stimmt eher nicht","stimmt eher","",""
"106","1980-01-01 00:00:00","5","de","46138546","26","weiblich","täglich","weniger als einmal monatlich","privates     (nur meine Follower können meine Beiträge sehen)","stimmt eher nicht","stimmt eher","stimmt weitgehend nicht","stimmt eher","stimmt eher nicht","stimmt völlig","stimmt eher nicht","stimmt eher nicht","stimmt gar nicht","stimmt weitgehend nicht","stimmt gar nicht","stimmt eher nicht","stimmt gar nicht","stimmt weitgehend nicht","stimmt eher","stimmt völlig","stimmt eher nicht","stimmt eher","stimmt gar nicht","stimmt gar nicht","stimmt weitgehend nicht","stimmt gar nicht","stimmt gar nicht","stimmt eher nicht","stimmt gar nicht","stimmt eher","stimmt weitgehend","stimmt gar nicht","stimmt weitgehend nicht","",""
"108","","1","de","414934695","10","männlich","mehrmals wöchentlich","mehrmals wöchentlich","öffentliches Konto     (meine Beiträge sind für alle Nutzer auf Instagram einsehbar, Standardeinstellung)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""

